date,location,area,minimum_total_people_killed,maximum_total_people_killed,minimum_civilians_reported_killed,maximum_civilians_reported_killed,minimum_children_reported_killed,maximum_children_reported_killed,minimum_reported_injured,maximum_reported_injured
2004-06-17,Wana,South Waziristan,6.0,8.0,2.0,2.0,2.0,2.0,1.0,1.0
2005-05-08,Toorikhel,North Waziristan,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-05,Mosaki,North Waziristan,8.0,8.0,3.0,8.0,2.0,3.0,1.0,1.0
2005-12-01,Haisori,North Waziristan,6.0,6.0,2.0,3.0,2.0,2.0,0.0,0.0
2006-01-13,Damadola,Bajaur Agency,13.0,22.0,10.0,18.0,5.0,6.0,0.0,0.0
2006-10-30,Chenegai,Bajaur Agency,81.0,83.0,80.0,82.0,68.0,70.0,3.0,3.0
2007-01-16,Zamazola,South Waziristan,8.0,8.0,8.0,8.0,1.0,1.0,0.0,0.0
2007-04-27,Saidgai,North Waziristan,3.0,4.0,3.0,4.0,0.0,0.0,3.0,9.0
2007-06-19,Mami Rogha,North Waziristan,20.0,34.0,0.0,34.0,0.0,0.0,10.0,15.0
2007-11-02,Danda Darpakhel,North Waziristan,5.0,10.0,0.0,0.0,0.0,0.0,6.0,12.0
2007-12-03,Jani Khel,Bannu Frontier Region,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2008-01-29,Mir Ali,North Waziristan,12.0,15.0,4.0,6.0,2.0,3.0,1.0,2.0
2008-02-28,Azam Warsak,South Waziristan,10.0,13.0,0.0,0.0,0.0,0.0,6.0,16.0
2008-03-16,Dhook Pir Bagh,South Waziristan,18.0,20.0,0.0,4.0,0.0,0.0,5.0,9.0
2008-05-14,Damadola,Bajaur Agency,12.0,20.0,4.0,6.0,1.0,4.0,9.0,9.0
2008-06-14,Makeen,South Waziristan,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2008-07-28,Zeralita,South Waziristan,7.0,12.0,1.0,5.0,0.0,2.0,3.0,3.0
2008-08-12,Bhaggar,South Waziristan,12.0,25.0,0.0,5.0,0.0,0.0,0.0,4.0
2008-08-20,Zari Noor,South Waziristan,6.0,12.0,0.0,0.0,0.0,0.0,5.0,5.0
2008-08-27,Ganki Khel,South Waziristan,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
2008-08-30,Korzai,South Waziristan,4.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0
2008-08-30,Miram Shah,North Waziristan,6.0,11.0,2.0,9.0,1.0,4.0,2.0,8.0
2008-09-02,Unknown,North Waziristan,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0
2008-09-04,Mohammad Khel,North Waziristan,5.0,7.0,0.0,0.0,0.0,0.0,3.0,4.0
2008-09-05,Gurwak,North Waziristan,5.0,12.0,5.0,7.0,3.0,4.0,0.0,0.0
2008-09-08,Miram Shah,North Waziristan,17.0,23.0,11.0,20.0,5.0,8.0,14.0,25.0
2008-09-12,Tol Khel,North Waziristan,12.0,15.0,3.0,5.0,2.0,2.0,14.0,14.0
2008-09-17,Baghar Cheena,South Waziristan,4.0,7.0,0.0,0.0,0.0,0.0,3.0,3.0
2008-09-30,Khushali,South Waziristan,4.0,8.0,0.0,0.0,0.0,0.0,5.0,9.0
2008-10-03,Datta Khel,North Waziristan,3.0,3.0,3.0,3.0,1.0,1.0,5.0,5.0
2008-10-03,Datta Khel,North Waziristan,17.0,21.0,7.0,14.0,3.0,3.0,0.0,0.0
2008-10-09,Tati,North Waziristan,5.0,9.0,1.0,9.0,1.0,4.0,2.0,2.0
2008-10-11,Miram Shah,North Waziristan,4.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0
2008-10-16,Taparghai,South Waziristan,2.0,9.0,0.0,4.0,0.0,0.0,1.0,7.0
2008-10-23,Danda Darpakhel,North Waziristan,8.0,11.0,7.0,10.0,7.0,7.0,6.0,11.0
2008-10-26,Mandata,South Waziristan,18.0,20.0,0.0,4.0,0.0,3.0,2.0,2.0
2008-10-31,Asori,North Waziristan,4.0,25.0,1.0,20.0,0.0,0.0,0.0,0.0
2008-10-31,Kari Kot,South Waziristan,4.0,12.0,1.0,1.0,0.0,0.0,2.0,30.0
2008-11-07,Kumsham,North Waziristan,11.0,16.0,6.0,11.0,0.0,0.0,17.0,17.0
2008-11-14,Garyom,North Waziristan,11.0,13.0,3.0,12.0,0.0,0.0,2.0,2.0
2008-11-19,Jani Khel,Bannu Frontier Region,3.0,6.0,0.0,3.0,0.0,0.0,7.0,7.0
2008-11-22,Ali Khel,North Waziristan,4.0,6.0,0.0,1.0,0.0,0.0,6.0,6.0
2008-11-27,Wana,South Waziristan,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-29,Chashma,North Waziristan,2.0,3.0,0.0,3.0,0.0,0.0,2.0,3.0
2008-12-05,Kateera,North Waziristan,3.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0
2008-12-11,Azam Warsak,South Waziristan,6.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0
2008-12-15,Tapi Tool,North Waziristan,2.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0
2008-12-22,Kari Kot,South Waziristan,3.0,3.0,0.0,0.0,0.0,0.0,5.0,5.0
2008-12-22,Shin Warsak,South Waziristan,2.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0
2009-01-01,Kari Kot,South Waziristan,3.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0
2009-01-02,Madin Village,South Waziristan,3.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0
2009-01-23,Zharki,North Waziristan,7.0,15.0,9.0,11.0,1.0,1.0,1.0,1.0
2009-01-23,Ganki Khel,South Waziristan,5.0,10.0,5.0,10.0,3.0,4.0,2.0,2.0
2009-02-14,Narsi Khel,South Waziristan,25.0,35.0,1.0,9.0,1.0,1.0,11.0,15.0
2009-02-16,Sur Pul,Kurram Agency,18.0,31.0,0.0,0.0,0.0,0.0,3.0,7.0
2009-03-01,Sararogha,South Waziristan,3.0,12.0,0.0,0.0,0.0,0.0,1.0,3.0
2009-03-12,Barjo,Kurram Agency,14.0,26.0,0.0,0.0,0.0,0.0,9.0,50.0
2009-03-15,Jani Khel,Bannu Frontier Region,2.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0
2009-03-25,Makeen,South Waziristan,6.0,8.0,0.0,0.0,0.0,0.0,5.0,5.0
2009-03-26,Sokhel,North Waziristan,4.0,5.0,0.0,5.0,0.0,0.0,5.0,5.0
2009-04-01,Khadezai,Orakzai Agency,10.0,14.0,5.0,5.0,3.0,3.0,4.0,16.0
2009-04-04,Datta Khel,North Waziristan,13.0,15.0,8.0,13.0,3.0,5.0,1.0,1.0
2009-04-08,Ganki Khel,South Waziristan,3.0,4.0,0.0,0.0,0.0,0.0,2.0,5.0
2009-04-19,Ganki Khel,South Waziristan,0.0,8.0,0.0,8.0,0.0,0.0,3.0,5.0
2009-04-29,Kaniguram,South Waziristan,1.0,10.0,0.0,4.0,0.0,0.0,4.0,4.0
2009-05-09,Tabbi Langhar Khel,South Waziristan,6.0,25.0,0.0,4.0,0.0,0.0,7.0,10.0
2009-05-12,Sara Khwara,South Waziristan,5.0,9.0,0.0,0.0,0.0,0.0,4.0,4.0
2009-05-16,Khesoor,North Waziristan,25.0,40.0,9.0,9.0,0.0,0.0,2.0,2.0
2009-06-14,Marda Algad,South Waziristan,3.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0
2009-06-18,Wana,South Waziristan,12.0,18.0,4.0,4.0,0.0,0.0,10.0,10.0
2009-06-23,Makeen,South Waziristan,5.0,6.0,0.0,0.0,0.0,0.0,7.0,7.0
2009-06-23,Makeen,South Waziristan,60.0,83.0,18.0,50.0,10.0,10.0,27.0,27.0
2009-07-03,Mantoi,South Waziristan,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0
2009-07-03,Zamarai Nairai,South Waziristan,10.0,17.0,0.0,0.0,0.0,0.0,27.0,35.0
2009-07-07,Makeen,South Waziristan,14.0,18.0,0.0,0.0,0.0,0.0,10.0,10.0
2009-07-08,Ladha,South Waziristan,8.0,10.0,0.0,0.0,0.0,0.0,5.0,12.0
2009-07-08,Ladha,South Waziristan,35.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0
2009-07-10,Painda Khel,South Waziristan,3.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0
2009-07-17,Gariwam,North Waziristan,5.0,6.0,0.0,0.0,0.0,0.0,4.0,6.0
2009-08-05,Ladha,South Waziristan,1.0,12.0,1.0,4.0,0.0,0.0,5.0,5.0
2009-08-11,Ladha,South Waziristan,12.0,25.0,0.0,6.0,4.0,4.0,5.0,7.0
2009-08-21,Danda Darpakhel,North Waziristan,17.0,21.0,9.0,13.0,6.0,6.0,2.0,2.0
2009-08-27,Taparghai,South Waziristan,8.0,10.0,0.0,0.0,0.0,0.0,6.0,9.0
2009-09-07,Machi Khel,North Waziristan,5.0,8.0,3.0,3.0,0.0,0.0,2.0,7.0
2009-09-08,Darga Mandi,North Waziristan,10.0,15.0,5.0,5.0,3.0,3.0,4.0,5.0
2009-09-14,Toorikhel,North Waziristan,5.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0
2009-09-24,Mir Ali,North Waziristan,10.0,12.0,0.0,12.0,0.0,0.0,5.0,5.0
2009-09-29,Sararogha,South Waziristan,5.0,6.0,0.0,0.0,0.0,0.0,2.0,6.0
2009-09-29,Danda Darpakhel,North Waziristan,4.0,9.0,0.0,4.0,0.0,0.0,2.0,6.0
2009-09-30,Norak,North Waziristan,6.0,9.0,0.0,0.0,0.0,0.0,2.0,5.0
2009-10-15,Danda Darpakhel,North Waziristan,3.0,4.0,0.0,0.0,0.0,0.0,7.0,7.0
2009-10-21,Spalaga,North Waziristan,3.0,3.0,0.0,0.0,0.0,0.0,8.0,8.0
2009-10-24,Damadola,Bajaur Agency,20.0,30.0,0.0,0.0,0.0,0.0,8.0,8.0
2009-11-05,Norak,North Waziristan,4.0,6.0,0.0,0.0,0.0,0.0,8.0,8.0
2009-11-18,Shanakorah,North Waziristan,3.0,6.0,0.0,0.0,0.0,0.0,2.0,15.0
2009-11-20,Machi Khel,North Waziristan,3.0,14.0,3.0,3.0,1.0,1.0,2.0,12.0
2009-12-08,Spalaga,North Waziristan,3.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0
2009-12-10,Ladha,South Waziristan,6.0,6.0,0.0,0.0,0.0,0.0,8.0,8.0
2009-12-17,Datta Khel,North Waziristan,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-17,Ambar Shaga,North Waziristan,12.0,16.0,6.0,6.0,0.0,0.0,0.0,0.0
2009-12-18,Babrak Ziarat,North Waziristan,5.0,8.0,5.0,5.0,0.0,0.0,4.0,5.0
2009-12-26,Saidgai,North Waziristan,13.0,20.0,6.0,6.0,0.0,0.0,12.0,12.0
2009-12-31,Machi Khel,North Waziristan,3.0,7.0,3.0,3.0,1.0,1.0,2.0,2.0
2010-01-01,Ghundikala,North Waziristan,2.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0
2010-01-03,Mosaki,North Waziristan,5.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0
2010-01-06,Sanzali,North Waziristan,5.0,7.0,0.0,6.0,0.0,0.0,5.0,5.0
2010-01-06,Sanzali,North Waziristan,5.0,9.0,5.0,5.0,0.0,0.0,3.0,3.0
2010-01-08,Tappi,North Waziristan,5.0,6.0,5.0,5.0,1.0,1.0,3.0,3.0
2010-01-09,Ismail Khel,North Waziristan,4.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0
